text,image
TV보고싶어요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/ztvz_bo_go_sip_eo_yo_1.png
가방(실내화가방),http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/ga_bang_sil_nae_hwa_ga_bang_.png
간식,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gan_sig_001_1.png
간식,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gan_sig_002_1.png
감사합니다,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gam_sa_hab_ni_da_.png
같이놀고싶어요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gat_i_nol_go_sip_eo_yo_.png
같이놀자,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gat_i_nol_ja_.png
같이놀자,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gat_i_nol_ja_201_.png
고마워요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/go_ma_weo_yo_.png
과자주세요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gwa_ja_ju_se_yo_001_.png
과자주세요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gwa_ja_ju_se_yo_002_.png
그만먹을래요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/geu_man_meog_eul_rae_yo_001_.jpg
그만먹을래요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/geu_man_meog_eul_rae_yo_002_.png
그만먹을래요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/geu_man_meog_eul_rae_yo_201_.png
김밥,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gim_bab_.png
김밥,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gim_bab_201_.png
나눠가져,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/na_nweo_ga_jyeo_201_.png
나는_반이에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/na_neun_ban_i_e_yo_001_.png
나는_반이에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/na_neun_ban_i_e_yo_002_.png
나는_살이에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/na_neun_sal_i_e_yo_.png
나는00살이에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/na_neun_xx_sal_i_e_yo_201_.png
내가좋아하는음식은_에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_ga_joh_a_ha_neun_eum_sig_eun_e_yo_.png
내가좋아하는음식은00에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_ga_joh_a_ha_neun_eum_sig_eun_xx_e_yo_201_.png
내거에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_geo_e_yo_201_.png
내거예요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_geo_ye_yo_001_.png
내거예요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_geo_ye_yo_002_.png
내거예요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_geo_ye_yo_003_.png
내남자친구는_입니다,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_nam_ja_cin_gu_neun_ib_ni_da_.png
내방,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_bang_001_.png
내방,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_bang_002_.png
내방,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_bang_201_.png
내생일은_에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_saeng_il_eun_e_yo_.png
내신발사이즈는_에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_sin_bal_sa_i_jeu_neun_e_yo_.png
내여자친구는_입니다,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_yeo_ja_cin_gu_neun_ib_ni_da_.png
내옷사이즈는_에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_os_sa_i_jeu_neun_e_yo_.png
내이름은_에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_i_reum_eun_e_yo_.png
내자리는_에요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_ja_ri_neun_e_yo_.png
내자리로데려다주세요,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_ja_ri_ro_de_ryeo_da_ju_se_yo_.png
네,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/ne_001_.png
