text,image,카테고리_주제,카테고리_품사,필요토큰,필요성분
놀고싶어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/nol_go_sip_eo_yo_.png,집,0,0,0
누구세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/nu_gu_se_yo_.png,집,0,0,0
누구세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/nu_gu_se_yo_201_.png,집,0,0,0
더할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/deo_hal_rae_yo_001_.png,집,0,0,0
더할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/deo_hal_rae_yo_002_.png,집,0,0,0
더할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/deo_hal_rae_yo_201_.png,집,0,0,0
동화책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/dong_hwa_caeg_001_.png,집,0,0,0
동화책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/dong_hwa_caeg_002_.png,집,0,0,0
동화책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/dong_hwa_caeg_201_.png,집,0,0,0
장난감,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/jang_nan_gam_.png,집,명사,0,0
장난감,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/jang_nan_gam_201_.png,집,명사,0,0
장난감,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/jang_nan_gam_202_.png,집,명사,0,0
장난감,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/jang_nan_gam_203_.png,집,명사,0,0
창문열어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/cang_mun_yeol_eo_ju_se_yo_.png,집,0,0,0
학교-다녀오겠습니다,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/hag_gyo_da_nyeo_o_gess_seub_ni_da_2.png,집,0,0,0
(할아버지-또는-할머니)-돌아가셨어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/v_hal_a_beo_ji_ddo_neun_hal_meo_ni_dol_a_ga_syeoss_eo_yo_.png,집,0,0,0
(할아버지)-생각해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/v_hal_a_beo_ji_saeng_gag_hae_yo_001_.png,집,0,0,0
(할아버지)-생각해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/v_hal_a_beo_ji_saeng_gag_hae_yo_002_.png,집,0,0,0
가족,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ga_jog_001_2.png,집,명사,0,0
가족,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ga_jog_002_2.png,집,명사,0,0
결혼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/gyeol_hon_001_.png,집,명사,0,0
결혼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/gyeol_hon_002_.png,집,명사,0,0
고모,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/go_mo_.png,집,명사,0,0
고모,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/go_mo_201_.png,집,명사,0,0
고모부,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/go_mo_bu_.png,집,0,0,0
기억해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/gi_eog_hae_yo_.png,집,0,0,0
나,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/na_001_.png,집,명사,0,0
나,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/na_002_.png,집,명사,0,0
나,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/na_003_.png,집,명사,0,0
나,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/na_004_.png,집,명사,0,0
