text,image,카테고리_주제,카테고리_품사,실체,필요성분,명사구분,동사구분
공부시간,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/gong_bu_si_gan_201_.png,학교,명사,1,0,0,0
과학실,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/gwa_hag_sil_.png,학교,명사,2,0,0,0
교과서를펴주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/gyo_gwa_seo_reul_pyeo_ju_se_yo_.png,학교,동사,0,0,0,0
교육,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/gyo_yug_201_.png,학교,명사,1,0,0,0
나가서놀래요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/na_ga_seo_nol_rae_yo_.png,학교,동사,0,0,0,0
남은시간을-알려주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nam_eun_si_gan_eul_al_ryeo_ju_se_yo_003_.png,학교,동사,0,0,0,0
남은시간을알려주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nam_eun_si_gan_eul_al_ryeo_ju_se_yo_001_.png,학교,동사,0,0,0,0
남은시간을알려주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nam_eun_si_gan_eul_al_ryeo_ju_se_yo_002_.png,학교,동사,0,0,0,0
남자친구,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nam_ja_cin_gu_001_.png,학교,명사,2,0,0,0
남자친구,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nam_ja_cin_gu_002_.png,학교,명사,2,0,0,0
남자친구,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nam_ja_cin_gu_201_.png,학교,명사,2,0,0,0
내-차례에요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nae_ca_rye_e_yo_002_.png,학교,동사,0,0,0,0
내일보자,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nae_il_bo_ja_.png,학교,동사,0,0,0,0
내차례에요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nae_ca_rye_e_yo_201_.png,학교,동사,0,0,0,0
내차례예요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nae_ca_rye_ye_yo_001_.png,학교,동사,0,0,0,0
내친구들,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nae_cin_gu_deul_201_.png,학교,명사,2,0,0,0
네말이맞아,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/ne_mal_i_maj_a_.png,학교,동사,0,0,0,0
놀이시간,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/nol_i_si_gan_201_.png,학교,명사,1,0,0,0
늦었어요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/neuj_eoss_eo_yo_001_.png,학교,동사,0,0,0,0
늦었어요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/neuj_eoss_eo_yo_002_.png,학교,동사,0,0,0,0
늦었어요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/neuj_eoss_eo_yo_003_.png,학교,동사,0,0,0,0
답을알려주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/dab_eul_al_ryeo_ju_se_yo_.png,학교,동사,0,0,0,0
대답,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/dae_dab_.png,학교,명사,1,0,0,0
등교준비하기,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/deung_gyo_jun_bi_ha_gi_2.png,학교,명사,1,0,0,0
맞아요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/maj_a_yo_201_.png,학교,동사,0,0,0,0
문제를설명해주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/mun_je_reul_seol_myeong_hae_ju_se_yo_.png,학교,동사,0,0,0,0
보조원선생님,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n1_zcorez_/bo_jo_weon_seon_saeng_nim_.png,학교,명사,2,0,0,0
