text,image,카테고리_주제,카테고리_품사
놀고싶어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/nol_go_sip_eo_yo_.png,집,동사
누구세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/nu_gu_se_yo_.png,집,동사
누구세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/nu_gu_se_yo_201_.png,집,동사
더할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/deo_hal_rae_yo_001_.png,집,동사
더할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/deo_hal_rae_yo_002_.png,집,동사
더할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/deo_hal_rae_yo_201_.png,집,동사
창문열어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/cang_mun_yeol_eo_ju_se_yo_.png,집,동사
학교-다녀오겠습니다,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/hag_gyo_da_nyeo_o_gess_seub_ni_da_2.png,집,동사
(할아버지-또는-할머니)-돌아가셨어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/v_hal_a_beo_ji_ddo_neun_hal_meo_ni_dol_a_ga_syeoss_eo_yo_.png,집,동사
(할아버지)-생각해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/v_hal_a_beo_ji_saeng_gag_hae_yo_001_.png,집,동사
(할아버지)-생각해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/v_hal_a_beo_ji_saeng_gag_hae_yo_002_.png,집,동사
기억해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/gi_eog_hae_yo_.png,집,동사
닮았어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/dalm_ass_eo_yo_.png,집,동사
