text,image,카테고리_주제,카테고리_품사
동화책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/dong_hwa_caeg_001_.png,집,명사
동화책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/dong_hwa_caeg_002_.png,집,명사
동화책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/dong_hwa_caeg_201_.png,집,명사
장난감,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/jang_nan_gam_.png,집,명사
장난감,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/jang_nan_gam_201_.png,집,명사
장난감,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/jang_nan_gam_202_.png,집,명사
장난감,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n1_zcorez_/jang_nan_gam_203_.png,집,명사
가족,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ga_jog_001_2.png,집,명사
가족,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ga_jog_002_2.png,집,명사
결혼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/gyeol_hon_001_.png,집,명사
결혼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/gyeol_hon_002_.png,집,명사
거울,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/geo_ul_1.png,집,명사
따뜻한-물(온수),http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/dda_ddeus_han_mul_on_su_001_.png,집,명사
따뜻한-물(온수),http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/dda_ddeus_han_mul_on_su_002_.png,집,명사
린스,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/rin_seu_.png,집,명사
물,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/mul_001_2.png,집,명사
물,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/mul_002_2.png,집,명사
물,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/mul_003_.png,집,명사
물,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/mul_004_.png,집,명사
물,http://220.69.171.28:8080/Symbol/Symbol/gif/mul_.gif,집,명사
바디워시,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/ba_di_syam_pu_.png,집,명사
발,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/bal_1.png,집,명사
변기,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/byeon_gi_.png,집,명사
비누,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/bi_nu_.png,집,명사
