text,image
간식,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gan_sig_001_1.png
간식,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gan_sig_002_1.png
김밥,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gim_bab_.png
김밥,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/gim_bab_201_.png
내방,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_bang_001_.png
내방,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_bang_002_.png
내방,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/nae_bang_201_.png
네,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/ne_001_.png
네,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/ne_002_.png
네,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/ne_201_.png
빵집,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/bbang_jib_.png
서점,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/seo_jeom_.png
소풍,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/so_pung_001_.png
소풍,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/so_pung_002_1.png
아빠,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/a_bba_001_.png
아빠,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/a_bba_002_.png
아빠,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/a_bba_003_.png
아빠,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/a_bba_201_.png
어디,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/eo_di_201_.png
엄마,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/eom_ma_001_.png
엄마,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/eom_ma_002_.png
엄마,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/eom_ma_003_.png
엄마,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/eom_ma_004_.png
엄마,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/eom_ma_005_.png
엄마,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/eom_ma_201_.png
입구,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/ib_gu_201_.png
잘가,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/jal_ga_001_.png
잘가,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/jal_ga_002_.png
좋아,http://220.69.171.28:8080/Symbol/Symbol/n1_gi_bon_gi_neung_ki_/n1_zcorez_/joh_a_201_.png
